source_role,url,prediction_keys,source_locators,preservation_level,archived_copy_url,archive_status,preserved_capsule_count,preserved_text_capsule_sha256
primary_outcome_evidence,https://newgtlds.icann.org/en/blog/first-delegation-21oct13-en,51-BHPRO-2012-03-08,,locator_and_text_capsule,,pending_external_archive,1,AB7EB131DBFFF298E371B7DD9E9D30A72746D4C6E719B51E9B6AF4F42511A3F2
primary_outcome_evidence,https://news.samsung.com/global/10-sensors-of-galaxy-s5-heart-rate-finger-scanner-and-more,34-CCC-2013-034-10,,locator_and_text_capsule,,pending_external_archive,1,E0D9970B625EABE6E97B2D574A91F2186FA9BEF39E65A2E6BA6B480B59F5E10F
primary_outcome_evidence,https://nvd.nist.gov/vuln/detail/CVE-2006-2312,45-CCC-2005-006-01,,locator_and_text_capsule,,pending_external_archive,1,FE73EC337CF01E2A86F88CED3B63A99CF70665F37C3185920AF4345261D73691
primary_outcome_evidence,https://nvd.nist.gov/vuln/detail/CVE-2007-1993,39-CCC-2006-011-13,,locator_and_text_capsule,,pending_external_archive,1,C73AA1718C84338C72052F45295CD0CA82DBE8EF88345D32455DAB957355E1CA
primary_outcome_evidence,https://nvd.nist.gov/vuln/detail/CVE-2008-2639,111-CCC-2007-014-01,,locator_and_text_capsule,,pending_external_archive,1,A87F448DB501756252B75CDA004F6DBEC56BFBF6B950484D3A3F16C667C44D29
primary_outcome_evidence,https://ora.ox.ac.uk/objects/uuid%3A6d1260fd-b8ee-4a11-8a5f-e7708d543651,103-CCC-2008-019-07;103-CCC-2008-019-08,,locator_and_text_capsule,,pending_external_archive,2,24DA15E0FC753E290485040FF429DD885E7C7F2C9810488187863556042399B1
primary_outcome_evidence,https://policy.trade.ec.europa.eu/eu-trade-relationships-country-and-region/countries-and-regions/united-states/eu-negotiating-texts-ttip_en,27-CCC-2012-032-03,,locator_and_text_capsule,,pending_external_archive,1,591BAD2E21639E9AD176417F03E32C366EBFDAB210A4C76819AF048E82F9AFBF
primary_outcome_evidence,https://privacyrights.org/data-breaches,103-CCC-2008-019-01,,locator_and_text_capsule,,pending_external_archive,1,8131D9D3B666C7B07D244BD1C09CEC8CB2D4C8A163F5E050B430415BDFFDE464
primary_outcome_evidence,https://robotattack.org/,43-CCC-2017-073-01,,locator_and_text_capsule,,pending_external_archive,1,0976672B216410A4E0E31990580FF863691AC07E3862A881D5061B4D5EF932E4
primary_outcome_evidence,https://seclists.org/cert/2006/8,45-CCC-2005-006-03,,locator_and_text_capsule,,pending_external_archive,1,861B8C22C4F0E8B9E3A0C36B6282BDBF51EB2E0D29283CDC2A882DD546247849
primary_outcome_evidence,https://seclists.org/fulldisclosure/,39-CCC-2006-011-11,,locator_and_text_capsule,,pending_external_archive,1,C9C914DA19D604BC3F64B60F052DB91FDAA9A1D84C26CE0631CB0F4DCAA170E1
primary_outcome_evidence,https://securelist.com/mobile-malware-evolution-2013/58335/,127-CCC-2012-037-01,,locator_and_text_capsule,,pending_external_archive,1,AEBA7A69B6563F420789B104BC4E50E6AE88264999FB9C2D8B846787C9AA4915
primary_outcome_evidence,https://srlabs.de/bites/spoofing-fingerprints,34-CCC-2013-034-09,,locator_and_text_capsule,,pending_external_archive,1,F01B2D3E3B57617E0DD490C01AA56E3BEC2C48CFCAA136E9A7674C56D9FBFFE0
primary_outcome_evidence,https://support.apple.com/en-us/HT201222,80-CCC-2007-012-05,,locator_and_text_capsule,,pending_external_archive,1,CF54429123E3F3FFAF64AA6222870B71C5E3B8F6BDBE5997C86277A2D69872DA
primary_outcome_evidence,https://support.apple.com/guide/security/gatekeeper-and-runtime-protection-sec5599b66df/web,23-CCC-2018-085-04,,locator_and_text_capsule,,pending_external_archive,1,D39F8EC1D524B23A1A26A67C9FA2A06A681387DDFE89EC4024DE945CE691EE89
primary_outcome_evidence,https://ustr.gov/about-us/policy-offices/press-office/blog/2013/june/2013-Joint-Strategic-Plan-Release,27-CCC-2012-032-02,,locator_and_text_capsule,,pending_external_archive,1,34746B94CF564C3C957FE29162D4906E347FF5F145263D9437C5E8D593066C16
primary_outcome_evidence,https://ustr.gov/ttip,27-CCC-2012-032-01,,locator_and_text_capsule,,pending_external_archive,1,DBACFB770F0611B4C6E95E99543AFA640F00ECBDA5D5795C5D812D9414DE3BAE
primary_outcome_evidence,https://wikileaks.org/wiki/Category%3A2010,70-CCC-2009-021-11,,locator_and_text_capsule,,pending_external_archive,1,978EBBDDF023C869661AC09513C98BFF20784FF7BE5CBDF3BC2A70252B1E4AF5
primary_outcome_evidence,https://www.5gtechnologyworld.com/sensory-brings-voice-activation-to-the-samsung-galaxy-hi-galaxy/,41-CCC-2011-031-07,,locator_and_text_capsule,,pending_external_archive,1,567B2BB801C9626C13DBD6271CBCD9A456BF3FFB3F19C93C815D4F9690F6868F
primary_outcome_evidence,https://www.abiresearch.com/press/fingerprint-sensor-shipments-reach-126-billion-2019-despite-growth-from-face-recognition,130-CCC-2017-061-06,,locator_and_text_capsule,,pending_external_archive,1,AC115EDCF797A5B5A2B763C40E23684C3F2B53E66D98C239076E71AAD924C8EE
primary_outcome_evidence,https://www.adobe.com/support/security/advisories/apsa08-03.html,111-CCC-2007-014-03,,locator_and_text_capsule,,pending_external_archive,1,610E0245DDADBE5F45255633DF211A86C8EDEB64C81C3B3D8667B040E502533C
primary_outcome_evidence,https://www.adobe.com/support/security/advisories/apsa09-04.html,103-CCC-2008-019-04,,locator_and_text_capsule,,pending_external_archive,1,E7916B3C0E5BFFC3F5CE695ACE01797C44F1CE1F31AFEBB1D0659A4A1A3A81F9
primary_outcome_evidence,https://www.apple.com/customer-letter/,131-CCC-2015-056-05,,locator_and_text_capsule,,pending_external_archive,1,AA6C168CD0BA922D0CB897D71A8870199EE99D972F3A05D6EC4C5D127DF025C0
primary_outcome_evidence,https://www.av-comparatives.org/tests/advanced-endpoint-protection-test/,31-VB-2016-P01-06,,locator_and_text_capsule,,pending_external_archive,1,E22AFA5CC4FCBC92B2A305CDFEDCD24670416672DF99E4D86BAACB3FEDD974D1
primary_outcome_evidence,https://www.av-comparatives.org/tests/business-security-test-2021-august-november/,31-VB-2016-P01-07,,locator_and_text_capsule,,pending_external_archive,1,682A9D9FBB6922228443A9B01B6FCE4DA3409BC7A48E6C61ABE520187E9D24F5
